성별,연령대,몸무게,운동경력,운동목적,운동종목,추천무게(kg),추천횟수,추천세트수,쉬는시간(초)
남성,50대,69.0,중급자,스트렝스,사이드 레터럴 레이즈,50.0,4,4,131
남성,50대,59.0,상급자,근비대,벤치프레스,52.5,8,4,71
여성,50대,47.7,초보자,다이어트,랫 풀다운 머신,10.0,20,3,37
남성,50대,78.6,상급자,스트렝스,사이드 레터럴 레이즈,90.0,5,4,151
남성,50대,68.8,중급자,스트렝스,레그 익스텐션 머신,70.0,4,5,170
여성,50대,45.3,중급자,근비대,루마니안 데드리프트,15.0,10,3,80
남성,40대,88.3,초보자,다이어트,오버헤드 프레스,17.5,16,3,57
여성,30대,43.8,상급자,근비대,랫 풀다운 머신,42.5,8,3,87
남성,10대,69.0,상급자,스트렝스,사이드 레터럴 레이즈,75.0,3,4,120
여성,50대,44.0,중급자,재활/건강,사이드 레터럴 레이즈,10.0,18,2,107
여성,40대,58.8,상급자,스트렝스,어시스트 풀업 머신,62.5,4,5,160
남성,60대 이상,63.9,초보자,근비대,오버헤드 프레스,17.5,8,3,84
남성,10대,72.5,중급자,근비대,숄더 프레스 머신,70.0,10,4,63
여성,60대 이상,45.0,상급자,다이어트,바벨 스쿼트,20.0,20,3,30
여성,20대,69.6,상급자,근비대,레그 익스텐션 머신,62.5,10,3,82
남성,10대,61.9,초보자,스트렝스,워킹 런지,22.5,5,4,173
여성,50대,63.9,상급자,근비대,사이드 레터럴 레이즈,40.0,12,3,63
여성,60대 이상,56.5,초보자,근비대,랫 풀다운 머신,17.5,12,4,90
남성,10대,71.9,중급자,근비대,레그 프레스 머신,67.5,11,4,87
여성,60대 이상,59.0,초보자,스트렝스,바벨 로우,15.0,4,5,131
여성,10대,52.1,중급자,근비대,벤치프레스,17.5,10,3,78
남성,10대,66.5,상급자,다이어트,레그 컬 머신,67.5,19,3,50
남성,50대,72.9,초보자,스트렝스,숄더 프레스 머신,37.5,3,4,153
남성,20대,63.6,중급자,근비대,체스트 프레스 머신,57.5,10,3,88
남성,30대,68.6,상급자,다이어트,페이스 풀,50.0,19,3,50
여성,30대,62.4,초보자,근비대,바벨 스쿼트,12.5,9,4,72
여성,60대 이상,74.0,중급자,근비대,레그 익스텐션 머신,45.0,11,4,78
남성,40대,88.7,중급자,근비대,사이드 레터럴 레이즈,52.5,12,4,68
여성,20대,72.3,초보자,다이어트,펙덱 플라이 머신,15.0,16,3,37
남성,20대,70.8,초보자,근비대,레그 익스텐션 머신,30.0,10,4,63
여성,30대,66.9,상급자,근비대,랫 풀다운 머신,62.5,8,4,62
여성,60대 이상,41.7,초보자,다이어트,벤치프레스,5.0,15,3,34
남성,60대 이상,72.4,중급자,재활/건강,시티드 로우 머신,30.0,17,3,113
남성,40대,88.5,초보자,스트렝스,숄더 프레스 머신,47.5,4,4,139
여성,20대,50.5,중급자,다이어트,루마니안 데드리프트,15.0,18,3,30
남성,60대 이상,77.3,초보자,스트렝스,바벨 스쿼트,27.5,4,4,127
남성,30대,81.4,상급자,다이어트,바벨 스쿼트,50.0,19,3,36
여성,40대,53.0,중급자,근비대,워킹 런지,20.0,12,4,86
여성,30대,72.0,상급자,근비대,바벨 스쿼트,42.5,9,4,88
여성,30대,40.4,중급자,근비대,레그 익스텐션 머신,22.5,12,3,86
여성,20대,49.6,중급자,다이어트,레그 컬 머신,20.0,20,3,55
남성,40대,76.4,초보자,스트렝스,바벨 로우,27.5,4,4,137
남성,40대,75.8,상급자,스트렝스,레그 컬 머신,122.5,3,4,132
여성,10대,40.9,중급자,재활/건강,인클라인 덤벨 프레스,5.0,20,2,104
여성,30대,56.5,중급자,스트렝스,바벨 스쿼트,25.0,5,4,170
남성,20대,82.8,초보자,스트렝스,레그 프레스 머신,45.0,3,5,169
남성,60대 이상,77.4,중급자,재활/건강,벤치프레스,22.5,19,3,93
여성,40대,64.9,초보자,근비대,페이스 풀,12.5,12,3,60
여성,30대,70.0,상급자,근비대,오버헤드 프레스,42.5,11,3,75
여성,10대,54.7,상급자,근비대,사이드 레터럴 레이즈,35.0,11,4,89
남성,10대,91.4,초보자,다이어트,바벨 로우,20.0,16,3,46
남성,10대,85.9,상급자,재활/건강,페이스 풀,37.5,19,2,120
남성,20대,64.3,중급자,재활/건강,오버헤드 프레스,17.5,17,2,106
남성,60대 이상,61.0,중급자,스트렝스,워킹 런지,45.0,4,5,131
여성,60대 이상,63.7,초보자,다이어트,페이스 풀,10.0,19,3,59
여성,30대,37.7,상급자,다이어트,페이스 풀,15.0,17,3,33
여성,40대,55.3,초보자,근비대,페이스 풀,10.0,11,3,84
여성,20대,61.2,중급자,스트렝스,사이드 레터럴 레이즈,27.5,4,5,177
여성,30대,52.6,중급자,다이어트,사이드 레터럴 레이즈,12.5,17,3,55
남성,40대,78.7,중급자,근비대,바벨 스쿼트,47.5,12,4,88
여성,60대 이상,43.8,중급자,스트렝스,어시스트 풀업 머신,30.0,4,5,139
남성,60대 이상,80.1,초보자,근비대,바벨 스쿼트,25.0,12,4,82
남성,20대,97.5,상급자,스트렝스,바벨 스쿼트,102.5,5,5,173
남성,30대,67.8,초보자,재활/건강,인클라인 덤벨 프레스,7.5,17,3,117
여성,30대,53.7,상급자,재활/건강,레그 익스텐션 머신,25.0,20,2,93
여성,50대,57.9,상급자,스트렝스,워킹 런지,40.0,4,4,149
여성,50대,50.1,초보자,근비대,레그 컬 머신,12.5,11,3,81
여성,50대,55.1,상급자,다이어트,레그 프레스 머신,37.5,15,3,37
여성,30대,59.7,초보자,근비대,루마니안 데드리프트,10.0,10,3,81
여성,10대,51.0,초보자,스트렝스,벤치프레스,10.0,3,5,127
여성,40대,42.7,중급자,근비대,레그 프레스 머신,22.5,10,3,68
여성,10대,51.5,중급자,재활/건강,어시스트 풀업 머신,15.0,15,3,99
남성,30대,69.7,초보자,근비대,레그 익스텐션 머신,32.5,10,4,69
여성,30대,53.5,상급자,다이어트,시티드 로우 머신,37.5,20,3,42
남성,10대,70.6,상급자,다이어트,벤치프레스,45.0,17,3,44
남성,40대,75.9,중급자,근비대,페이스 풀,47.5,10,3,87
여성,50대,48.9,상급자,근비대,바벨 로우,27.5,9,4,84
남성,10대,89.0,초보자,재활/건강,숄더 프레스 머신,17.5,16,2,102
남성,50대,51.5,상급자,스트렝스,시티드 로우 머신,85.0,3,5,180
여성,40대,49.4,중급자,재활/건강,벤치프레스,7.5,18,3,92
여성,30대,56.4,상급자,스트렝스,벤치프레스,40.0,3,4,142
남성,40대,85.2,상급자,근비대,숄더 프레스 머신,115.0,9,3,83
여성,60대 이상,67.6,상급자,다이어트,바벨 스쿼트,30.0,16,3,31
여성,10대,55.2,초보자,스트렝스,펙덱 플라이 머신,17.5,5,4,144
여성,20대,57.4,중급자,스트렝스,랫 풀다운 머신,37.5,5,4,124
남성,50대,86.4,상급자,재활/건강,체스트 프레스 머신,52.5,15,3,104
남성,60대 이상,82.9,중급자,스트렝스,어시스트 풀업 머신,90.0,3,4,152
여성,40대,68.2,상급자,근비대,체스트 프레스 머신,60.0,11,4,68
여성,20대,53.0,초보자,스트렝스,랫 풀다운 머신,17.5,5,5,122
여성,50대,55.7,중급자,스트렝스,시티드 로우 머신,37.5,3,5,153
여성,10대,52.1,중급자,스트렝스,레그 프레스 머신,35.0,5,5,179
남성,20대,74.1,중급자,다이어트,인클라인 덤벨 프레스,35.0,19,3,44
여성,50대,50.9,초보자,근비대,사이드 레터럴 레이즈,10.0,8,3,63
남성,40대,81.5,중급자,재활/건강,벤치프레스,20.0,20,3,90
여성,30대,46.0,초보자,다이어트,워킹 런지,5.0,18,3,50
여성,40대,56.0,상급자,재활/건강,랫 풀다운 머신,25.0,20,2,93
남성,30대,85.1,상급자,근비대,벤치프레스,75.0,8,3,90
여성,50대,53.3,초보자,스트렝스,레그 컬 머신,17.5,4,4,173
남성,40대,63.0,상급자,다이어트,시티드 로우 머신,65.0,16,3,47
남성,20대,61.8,상급자,근비대,바벨 스쿼트,60.0,8,3,79
여성,30대,53.8,초보자,다이어트,어시스트 풀업 머신,12.5,20,3,44
여성,40대,52.5,초보자,스트렝스,사이드 레터럴 레이즈,12.5,5,4,138
여성,30대,61.9,상급자,재활/건강,어시스트 풀업 머신,27.5,17,3,119
남성,30대,87.0,초보자,근비대,바벨 로우,25.0,10,3,84
여성,50대,44.1,초보자,다이어트,레그 프레스 머신,10.0,15,3,40
남성,50대,74.4,상급자,재활/건강,시티드 로우 머신,52.5,18,3,97
여성,40대,61.0,상급자,다이어트,루마니안 데드리프트,27.5,20,3,32
여성,40대,57.2,중급자,재활/건강,어시스트 풀업 머신,12.5,16,2,95
남성,20대,64.1,상급자,근비대,레그 익스텐션 머신,90.0,12,4,87
여성,20대,49.0,중급자,다이어트,랫 풀다운 머신,20.0,19,3,40
남성,10대,82.1,중급자,재활/건강,루마니안 데드리프트,22.5,19,3,107
여성,30대,48.3,상급자,스트렝스,레그 컬 머신,52.5,5,4,155
남성,60대 이상,72.4,상급자,스트렝스,숄더 프레스 머신,112.5,5,5,142
여성,60대 이상,48.5,중급자,다이어트,시티드 로우 머신,17.5,20,3,53
남성,10대,91.8,상급자,근비대,숄더 프레스 머신,127.5,12,3,64
여성,30대,52.1,초보자,재활/건강,펙덱 플라이 머신,7.5,20,2,106
여성,20대,69.4,상급자,다이어트,사이드 레터럴 레이즈,32.5,19,3,46
남성,50대,65.6,중급자,다이어트,바벨 스쿼트,27.5,19,3,33
남성,10대,79.3,상급자,재활/건강,레그 익스텐션 머신,52.5,18,2,114
남성,50대,82.0,초보자,다이어트,워킹 런지,17.5,15,3,38
여성,20대,43.3,상급자,다이어트,오버헤드 프레스,20.0,18,3,34
남성,30대,69.8,상급자,스트렝스,랫 풀다운 머신,112.5,3,5,134
여성,50대,55.2,중급자,다이어트,오버헤드 프레스,15.0,19,3,53
남성,50대,80.4,상급자,다이어트,숄더 프레스 머신,77.5,15,3,56
여성,30대,50.7,중급자,재활/건강,레그 컬 머신,12.5,16,2,109
여성,60대 이상,58.5,상급자,스트렝스,어시스트 풀업 머신,62.5,3,5,169
남성,10대,52.8,초보자,근비대,워킹 런지,15.0,10,3,90
남성,30대,68.1,초보자,재활/건강,시티드 로우 머신,12.5,16,2,112
여성,40대,56.3,초보자,스트렝스,펙덱 플라이 머신,20.0,5,4,145
남성,20대,83.5,상급자,스트렝스,랫 풀다운 머신,137.5,3,5,167
여성,10대,52.8,중급자,재활/건강,벤치프레스,10.0,15,2,120
남성,10대,95.9,초보자,스트렝스,사이드 레터럴 레이즈,35.0,5,5,124
남성,20대,93.0,상급자,재활/건강,어시스트 풀업 머신,60.0,15,2,99
여성,60대 이상,54.1,상급자,스트렝스,랫 풀다운 머신,57.5,5,5,139
남성,30대,75.1,초보자,재활/건강,레그 익스텐션 머신,15.0,17,3,91
여성,30대,46.3,초보자,재활/건강,오버헤드 프레스,5.0,16,3,92
남성,60대 이상,73.1,중급자,스트렝스,인클라인 덤벨 프레스,50.0,5,5,166
남성,20대,69.9,초보자,스트렝스,바벨 로우,25.0,5,5,174
여성,20대,54.2,초보자,재활/건강,사이드 레터럴 레이즈,5.0,20,3,98
여성,30대,72.4,상급자,근비대,워킹 런지,42.5,10,4,85
남성,10대,84.4,초보자,근비대,오버헤드 프레스,25.0,8,3,63
남성,40대,79.0,상급자,스트렝스,레그 익스텐션 머신,127.5,4,5,130
여성,20대,65.4,초보자,재활/건강,루마니안 데드리프트,5.0,17,2,101
여성,10대,53.0,초보자,근비대,숄더 프레스 머신,15.0,9,3,76
남성,60대 이상,76.3,중급자,스트렝스,인클라인 덤벨 프레스,57.5,3,4,153
여성,20대,75.3,중급자,재활/건강,체스트 프레스 머신,20.0,20,2,91
남성,60대 이상,64.3,초보자,다이어트,벤치프레스,15.0,19,3,33
남성,40대,81.9,상급자,다이어트,랫 풀다운 머신,77.5,17,3,58
남성,30대,61.3,상급자,다이어트,워킹 런지,42.5,20,3,57
여성,60대 이상,52.1,중급자,재활/건강,루마니안 데드리프트,7.5,16,3,120
남성,20대,51.8,초보자,다이어트,체스트 프레스 머신,17.5,19,3,36
남성,40대,73.0,초보자,스트렝스,인클라인 덤벨 프레스,25.0,5,4,134
남성,20대,57.4,중급자,근비대,레그 프레스 머신,55.0,9,4,78
여성,30대,46.3,상급자,재활/건강,레그 프레스 머신,17.5,19,3,116
여성,20대,63.5,상급자,재활/건강,펙덱 플라이 머신,25.0,20,3,98
남성,60대 이상,81.6,초보자,스트렝스,숄더 프레스 머신,45.0,5,5,154
여성,30대,50.8,상급자,스트렝스,어시스트 풀업 머신,57.5,3,4,169
남성,30대,73.7,중급자,근비대,페이스 풀,45.0,8,4,89
남성,10대,59.4,초보자,스트렝스,바벨 스쿼트,22.5,3,5,153
남성,30대,83.2,중급자,다이어트,루마니안 데드리프트,35.0,15,3,30
여성,60대 이상,53.3,상급자,재활/건강,랫 풀다운 머신,20.0,19,3,119
